slug,population,pop_5yr_pct,income,ind1,ind1_pct,ind2,ind2_pct,ind3,ind3_pct,ind4,ind4_pct,ind5,ind5_pct
davenport-ia,381864,-0.2,71925,Education & health care,22.5,Manufacturing,16.7,Retail trade,11.4,"Arts, food & hospitality",8.3,Professional & management,7.9
tallahassee-fl,388298,2.2,63078,Education & health care,26.0,Public administration,14.4,Professional & management,13.0,Retail trade,11.0,"Arts, food & hospitality",9.7
eugene-or,382628,3.7,69311,Education & health care,27.2,Retail trade,12.1,Professional & management,10.6,Manufacturing,9.9,"Arts, food & hospitality",9.5
naples-fl,387681,6.5,86173,Education & health care,17.9,Professional & management,14.9,"Arts, food & hospitality",13.8,Retail trade,12.2,Construction,10.8
ann-arbor-mi,368394,0.7,87156,Education & health care,37.5,Professional & management,13.0,Manufacturing,12.4,"Arts, food & hospitality",8.8,Retail trade,7.8
ocala-fl,387697,11.3,58535,Education & health care,21.8,Retail trade,14.2,Professional & management,11.2,"Arts, food & hospitality",9.9,Construction,8.8
hickory-nc,366972,0.4,60255,Manufacturing,24.5,Education & health care,20.4,Retail trade,11.4,"Arts, food & hospitality",7.7,Professional & management,7.0
huntington-wv,372801,4.1,58483,Education & health care,31.1,Retail trade,12.5,Manufacturing,8.5,"Arts, food & hospitality",8.3,Professional & management,7.7
fort-collins-co,363561,7.5,91364,Education & health care,24.8,Professional & management,14.8,Retail trade,10.4,Manufacturing,10.0,"Arts, food & hospitality",10.0
rockford-il,336605,-0.9,66571,Education & health care,22.0,Manufacturing,20.2,Retail trade,11.7,Professional & management,8.6,"Arts, food & hospitality",8.1
lincoln-ne,341309,4.3,73095,Education & health care,26.8,Retail trade,11.0,Manufacturing,9.8,Professional & management,9.7,"Finance, insurance & real estate",8.0
gainesville-fl,344521,22.7,58946,Education & health care,36.0,Professional & management,10.7,"Arts, food & hospitality",10.5,Retail trade,10.3,Construction,5.4
boulder-co,328317,2.3,102772,Education & health care,24.3,Professional & management,20.6,Manufacturing,10.0,"Arts, food & hospitality",9.9,Retail trade,9.5
green-bay-wi,329375,3.7,77459,Education & health care,21.9,Manufacturing,19.2,Retail trade,10.3,Professional & management,8.2,"Arts, food & hospitality",7.4
columbus-ga,326136,6.0,57762,Education & health care,23.2,Manufacturing,10.8,"Finance, insurance & real estate",10.4,Retail trade,9.9,Professional & management,9.7
south-bend-in,324180,1.1,65385,Education & health care,27.8,Manufacturing,18.0,Retail trade,10.4,Professional & management,8.5,"Arts, food & hospitality",7.6
spartanburg-sc,365086,10.7,62440,Education & health care,21.2,Manufacturing,20.7,Retail trade,11.0,Professional & management,9.0,"Arts, food & hospitality",8.2
greeley-co,340711,15.4,93287,Education & health care,20.1,Professional & management,11.5,Manufacturing,10.9,Construction,10.3,Retail trade,10.3
lubbock-tx,354782,13.3,62288,Education & health care,28.7,Retail trade,12.3,"Arts, food & hospitality",9.8,Professional & management,8.2,Construction,7.1
clarksville-tn,328626,16.1,66210,Education & health care,23.3,Manufacturing,12.8,Retail trade,12.2,Professional & management,10.1,"Arts, food & hospitality",9.4
roanoke-va,314661,0.4,67447,Education & health care,26.7,Retail trade,11.1,Manufacturing,10.8,Professional & management,10.0,"Arts, food & hospitality",7.8
evansville-in,269721,-14.4,67671,Education & health care,24.4,Manufacturing,17.2,Retail trade,12.0,Professional & management,8.7,"Arts, food & hospitality",8.7
kingsport-tn,309580,1.0,55948,Education & health care,22.8,Manufacturing,15.6,Retail trade,13.6,"Arts, food & hospitality",9.0,Professional & management,8.0
kennewick-wa,307900,8.1,85881,Education & health care,21.2,Professional & management,13.4,Retail trade,10.7,Construction,8.9,"Arts, food & hospitality",8.1
utica-ny,289577,-1.3,68830,Education & health care,28.3,Retail trade,11.4,Manufacturing,9.5,Professional & management,9.2,"Arts, food & hospitality",8.1
hagerstown-md,298525,13.4,75473,Education & health care,22.4,Retail trade,12.4,Manufacturing,10.2,Professional & management,10.2,Transportation & utilities,8.4
duluth-mn,280710,0.6,71067,Education & health care,28.9,Retail trade,11.8,"Arts, food & hospitality",9.7,Manufacturing,8.4,Professional & management,7.4
olympia-wa,296640,8.0,93985,Education & health care,22.1,Public administration,16.4,Retail trade,11.8,Professional & management,9.3,"Arts, food & hospitality",8.5
longview-tx,288921,32.6,65210,Education & health care,23.3,Retail trade,11.6,Manufacturing,10.9,Professional & management,8.7,"Arts, food & hospitality",8.2
wilmington-nc,440578,55.5,73687,Education & health care,22.0,Professional & management,13.6,Retail trade,12.4,"Arts, food & hospitality",10.6,Construction,8.9
san-luis-obispo-ca,281486,0.0,93398,Education & health care,22.6,"Arts, food & hospitality",12.7,Professional & management,12.0,Retail trade,10.8,Manufacturing,8.0
crestview-fl,294127,10.3,79150,Education & health care,16.9,Professional & management,14.9,"Arts, food & hospitality",13.1,Retail trade,11.8,Public administration,9.4
merced-ca,285597,6.1,65044,Education & health care,21.8,Retail trade,10.7,Agriculture & mining,10.5,Manufacturing,10.5,Construction,8.5
waco-tx,299217,12.6,63880,Education & health care,25.6,Retail trade,12.0,Manufacturing,10.8,"Arts, food & hospitality",8.6,Professional & management,8.3
cedar-rapids-ia,275960,2.8,77084,Education & health care,22.9,Manufacturing,17.0,Retail trade,11.1,Professional & management,9.6,"Finance, insurance & real estate",7.7
atlantic-city-nj,369940,37.8,80600,Education & health care,25.0,"Arts, food & hospitality",18.5,Retail trade,11.4,Professional & management,9.9,Construction,6.8
bremerton-wa,276581,5.4,98546,Education & health care,20.0,Professional & management,12.6,Retail trade,12.2,Manufacturing,11.5,Public administration,10.6
sioux-falls-sd,293107,14.7,81418,Education & health care,25.3,Retail trade,11.6,"Finance, insurance & real estate",10.6,Manufacturing,10.1,Professional & management,8.3
santa-cruz-ca,266021,-2.8,109266,Education & health care,25.1,Professional & management,14.0,"Arts, food & hospitality",10.3,Retail trade,9.8,Manufacturing,7.8
erie-pa,269544,-2.3,61476,Education & health care,28.4,Manufacturing,15.5,Retail trade,10.5,"Arts, food & hospitality",8.9,Professional & management,7.7
norwich-ct,279025,3.8,84185,Education & health care,26.0,Manufacturing,14.6,"Arts, food & hospitality",13.0,Retail trade,10.7,Professional & management,9.3
amarillo-tx,270207,2.6,66571,Education & health care,22.7,Retail trade,11.5,Manufacturing,10.2,"Arts, food & hospitality",8.9,Construction,8.6
laredo-tx,267731,-1.6,62506,Education & health care,22.4,Transportation & utilities,15.8,Retail trade,12.7,"Arts, food & hospitality",9.0,Professional & management,8.9
tuscaloosa-al,275217,14.0,59975,Education & health care,29.0,Manufacturing,16.4,Retail trade,10.9,"Arts, food & hospitality",8.3,Professional & management,7.6
college-station-tx,273280,7.6,59691,Education & health care,30.8,"Arts, food & hospitality",11.3,Retail trade,11.1,Professional & management,10.2,Construction,7.2
kalamazoo-mi,261437,-22.4,70525,Education & health care,25.4,Manufacturing,17.4,Retail trade,10.7,"Arts, food & hospitality",10.4,Professional & management,9.4
lynchburg-va,262716,0.8,67782,Education & health care,27.2,Manufacturing,12.9,Retail trade,11.1,Professional & management,9.2,"Arts, food & hospitality",8.8
charleston-wv,207456,-4.5,58089,Education & health care,28.2,Retail trade,11.5,Professional & management,9.4,Public administration,8.9,"Arts, food & hospitality",8.3
yakima-wa,256605,2.9,68015,Education & health care,22.4,Agriculture & mining,15.2,Retail trade,10.9,Manufacturing,9.6,"Arts, food & hospitality",7.6
fargo-nd,254914,7.6,75523,Education & health care,28.7,Retail trade,10.5,Professional & management,10.2,Manufacturing,8.6,"Arts, food & hospitality",8.4
binghamton-ny,245844,1.0,63347,Education & health care,32.0,Retail trade,11.8,Manufacturing,10.4,Professional & management,9.0,"Arts, food & hospitality",8.6
fort-smith-ar,228916,-18.6,56717,Education & health care,22.2,Manufacturing,16.3,Retail trade,11.2,Professional & management,9.4,"Arts, food & hospitality",8.8
appleton-wi,244163,4.1,83919,Manufacturing,22.6,Education & health care,20.4,Retail trade,10.0,Professional & management,8.9,Construction,7.2
topeka-ks,232724,-0.2,68160,Education & health care,25.4,Manufacturing,10.0,Retail trade,9.3,Public administration,9.0,Construction,7.6
macon-ga,234040,1.9,58127,Education & health care,25.0,Retail trade,11.5,Professional & management,9.4,Manufacturing,8.7,"Arts, food & hospitality",8.4
tyler-tx,238014,5.8,71923,Education & health care,26.2,Retail trade,12.2,Manufacturing,8.9,Professional & management,8.8,"Arts, food & hospitality",8.6
barnstable-town-ma,230073,7.7,94452,Education & health care,24.4,Professional & management,14.2,Retail trade,11.7,"Arts, food & hospitality",10.4,Construction,9.7
daphne-al,239945,15.3,75019,Education & health care,19.3,Retail trade,14.6,Professional & management,11.8,"Arts, food & hospitality",10.1,Manufacturing,9.8
bellingham-wa,228432,5.4,80989,Education & health care,23.6,Professional & management,10.6,"Arts, food & hospitality",10.3,Manufacturing,10.1,Retail trade,9.7
burlington-vt,226603,3.9,90911,Education & health care,29.1,Manufacturing,11.2,Professional & management,11.1,Retail trade,10.5,"Arts, food & hospitality",8.7
rochester-mn,227252,5.2,89675,Education & health care,43.4,Manufacturing,9.4,Retail trade,8.7,Professional & management,7.1,Construction,6.3
lafayette-in,225019,3.2,59895,Education & health care,32.4,Manufacturing,19.0,"Arts, food & hospitality",9.2,Retail trade,9.0,Professional & management,7.8
champaign-il,236196,-1.3,64558,Education & health care,38.9,Retail trade,9.6,Professional & management,9.1,Manufacturing,8.1,"Arts, food & hospitality",8.1
