slug,name,state,lat,lng,home_value,rent,landlord,tax_rate,growth,climate,blurb,as_of,data_month
toledo-oh,Toledo,OH,41.544357,-83.690777,205237,1264,75,1.52,62,85,,2026-09-24,2026-08-31
wichita-ks,Wichita,KS,37.637896,-97.246287,224280,1205,85,1.34,79,70,,2026-09-24,2026-08-31
durham-nc,Durham,NC,35.995536,-79.09699,405282,1649,85,0.8,43,65,,2026-09-24,2026-08-31
augusta-ga,Augusta,GA,33.460371,-81.982833,252841,1488,90,0.9,56,70,,2026-09-24,2026-08-31
palm-bay-fl,Palm Bay,FL,28.298311,-80.700333,341944,1898,80,0.86,30,40,,2026-09-24,2026-08-31
jackson-ms,Jackson,MS,32.426311,-90.136422,214315,1506,85,0.67,40,55,,2026-09-24,2026-08-31
harrisburg-pa,Harrisburg,PA,40.335915,-77.05049,311783,1477,70,1.41,78,90,,2026-09-24,2026-08-31
spokane-wa,Spokane,WA,48.091618,-117.663472,418163,1540,45,0.87,12,80,,2026-09-24,2026-08-31
scranton-pa,Scranton,PA,41.322881,-75.898188,235727,1358,70,1.41,75,90,,2026-09-24,2026-08-31
chattanooga-tn,Chattanooga,TN,35.049361,-85.361158,322958,1519,90,0.65,53,70,,2026-09-24,2026-08-31
modesto-ca,Modesto,CA,37.562316,-121.002831,463691,2068,35,0.75,16,55,,2026-09-24,2026-08-31
lancaster-pa,Lancaster,PA,40.041992,-76.250198,387889,1566,70,1.41,89,90,,2026-09-24,2026-08-31
portland-me,Portland,ME,43.651417,-70.418375,539862,2342,55,1.24,63,85,,2026-09-24,2026-08-31
youngstown-oh,Youngstown,OH,41.195092,-80.76508,177110,1026,75,1.52,91,85,,2026-09-24,2026-08-31
lansing-mi,Lansing,MI,42.713659,-84.605372,249666,1280,65,1.38,61,85,,2026-09-24,2026-08-31
fayetteville-ar,Fayetteville,AR,36.116394,-94.079545,367718,1582,85,0.62,92,70,,2026-09-24,2026-08-31
fayetteville-nc,Fayetteville,NC,35.037956,-78.982209,255537,1458,85,0.8,88,65,,2026-09-24,2026-08-31
lexington-ky,Lexington,KY,38.102876,-84.438545,326418,1539,80,0.83,86,75,,2026-09-24,2026-08-31
pensacola-fl,Pensacola,FL,30.608557,-87.158547,310111,1745,80,0.86,38,40,,2026-09-24,2026-08-31
santa-rosa-ca,Santa Rosa,CA,38.525182,-122.92611,785101,2685,35,0.75,5,55,,2026-09-24,2026-08-31
reno-nv,Reno,NV,40.251057,-119.555507,570858,2055,75,0.59,16,75,,2026-09-24,2026-08-31
huntsville-al,Huntsville,AL,34.783262,-86.734871,315402,1386,90,0.4,26,65,,2026-09-24,2026-08-31
port-st--lucie-fl,Port St. Lucie,FL,27.228046,-80.425388,381749,2340,80,0.86,44,40,,2026-09-24,2026-08-31
lafayette-la,Lafayette,LA,30.012961,-92.136552,202529,1382,60,0.56,5,25,,2026-09-24,2026-08-31
myrtle-beach-sc,Myrtle Beach,SC,33.909269,-78.976675,339754,1709,85,0.56,52,60,,2026-09-24,2026-08-31
springfield-mo,Springfield,MO,37.36087,-93.180262,272185,1245,85,0.98,76,75,,2026-09-24,2026-08-31
visalia-ca,Visalia,CA,36.228834,-118.781055,362368,1765,35,0.75,42,55,,2026-09-24,2026-08-31
killeen-tx,Killeen,TX,31.20273,-97.789638,250457,1330,85,1.68,24,70,,2026-09-24,2026-08-31
asheville-nc,Asheville,NC,35.61634,-82.570683,419186,1696,85,0.8,33,65,,2026-09-24,2026-08-31
york-pa,York,PA,39.921751,-76.728889,311138,1396,70,1.41,81,90,,2026-09-24,2026-08-31
vallejo-ca,Vallejo,CA,38.267226,-121.939594,572262,2458,35,0.75,3,55,,2026-09-24,2026-08-31
santa-maria-ca,Santa Maria,CA,34.536677,-120.038364,991975,3200,35,0.75,79,55,,2026-09-24,2026-08-31
salinas-ca,Salinas,CA,36.240104,-121.315578,843101,2799,35,0.75,24,55,,2026-09-24,2026-08-31
salem-or,Salem,OR,44.903385,-122.901757,449621,1618,40,0.93,20,75,,2026-09-24,2026-08-31
mobile-al,Mobile,AL,30.684572,-88.196568,197078,1308,90,0.4,36,65,,2026-09-24,2026-08-31
reading-pa,Reading,PA,40.413957,-75.92686,314715,1519,70,1.41,90,90,,2026-09-24,2026-08-31
corpus-christi-tx,Corpus Christi,TX,27.894817,-97.401668,223508,1434,85,1.68,7,70,,2026-09-24,2026-08-31
brownsville-tx,Brownsville,TX,26.102923,-97.478958,209484,1463,85,1.68,58,70,,2026-09-24,2026-08-31
manchester-nh,Manchester,NH,42.911532,-71.723055,523745,2178,65,1.93,88,85,,2026-09-24,2026-08-31
fort-wayne-in,Fort Wayne,IN,41.006999,-85.216424,260238,1281,90,0.84,88,85,,2026-09-24,2026-08-31
gulfport-ms,Gulfport,MS,30.480153,-88.999297,224579,1443,85,0.67,37,55,,2026-09-24,2026-08-31
salisbury-md,Salisbury,MD,38.197279,-75.769252,424977,1977,55,1.05,30,80,,2026-09-24,2026-08-31
flint-mi,Flint,MI,43.021077,-83.706372,196792,1063,65,1.38,59,85,,2026-09-24,2026-08-31
peoria-il,Peoria,IL,40.788069,-89.514639,174841,1178,35,2.08,94,85,,2026-09-24,2026-08-31
canton-oh,Canton,OH,40.711051,-81.261468,219938,1131,75,1.52,87,85,,2026-09-24,2026-08-31
savannah-ga,Savannah,GA,32.109153,-81.273107,342336,1789,90,0.9,85,70,,2026-09-24,2026-08-31
anchorage-ak,Anchorage,AK,62.212784,-149.678222,425596,1860,75,1.07,45,70,,2026-09-24,2026-08-31
beaumont-tx,Beaumont,TX,30.075928,-94.202705,188313,1283,85,1.68,5,70,,2026-09-24,2026-08-31
shreveport-la,Shreveport,LA,32.437682,-93.744884,186446,1330,60,0.56,10,25,,2026-09-24,2026-08-31
trenton-nj,Trenton,NJ,40.282503,-74.703724,445082,2513,40,2.23,90,75,,2026-09-24,2026-08-31
montgomery-al,Montgomery,AL,32.365631,-86.404585,214806,1405,90,0.4,56,65,,2026-09-24,2026-08-31
davenport-ia,Davenport,IA,41.39168,-90.460076,196628,1009,85,1.52,34,80,,2026-09-24,2026-08-31
tallahassee-fl,Tallahassee,FL,30.346366,-84.267001,284218,1470,80,0.86,39,40,,2026-09-24,2026-08-31
eugene-or,Eugene,OR,43.928334,-122.897581,455431,1766,40,0.93,20,75,,2026-09-24,2026-08-31
naples-fl,Naples,FL,26.118786,-81.400955,550720,2567,80,0.86,48,40,,2026-09-24,2026-08-31
ann-arbor-mi,Ann Arbor,MI,42.252217,-83.843423,416914,1962,65,1.38,37,85,,2026-09-24,2026-08-31
ocala-fl,Ocala,FL,29.202805,-82.0431,269193,1584,80,0.86,48,40,,2026-09-24,2026-08-31
hickory-nc,Hickory,NC,35.814295,-81.456584,269037,1618,85,0.8,72,65,,2026-09-24,2026-08-31
huntington-wv,Huntington,WV,38.357487,-82.579994,166303,1071,75,0.55,31,80,,2026-09-24,2026-08-31
fort-collins-co,Fort Collins,CO,40.658093,-105.486764,549219,1975,55,0.51,14,75,,2026-09-24,2026-08-31
rockford-il,Rockford,IL,42.331183,-89.042914,224246,1266,35,2.08,100,85,,2026-09-24,2026-08-31
lincoln-ne,Lincoln,NE,40.817429,-96.868801,302685,1308,85,1.63,52,75,,2026-09-24,2026-08-31
gainesville-fl,Gainesville,FL,29.453355,-82.666257,302455,1643,80,0.86,35,40,,2026-09-24,2026-08-31
boulder-co,Boulder,CO,40.094966,-105.397702,712024,2222,55,0.51,8,75,,2026-09-24,2026-08-31
green-bay-wi,Green Bay,WI,44.474024,-87.99613,345231,1109,70,1.61,96,85,,2026-09-24,2026-08-31
columbus-ga,Columbus,GA,32.419377,-84.843709,210990,1326,90,0.9,70,70,,2026-09-24,2026-08-31
south-bend-in,South Bend,IN,41.774981,-86.123014,241610,1301,90,0.84,91,85,,2026-09-24,2026-08-31
spartanburg-sc,Spartanburg,SC,34.83462,-81.842401,276318,1510,85,0.56,71,60,,2026-09-24,2026-08-31
greeley-co,Greeley,CO,40.555961,-104.383666,490746,1692,55,0.51,10,75,,2026-09-24,2026-08-31
lubbock-tx,Lubbock,TX,33.469794,-101.880412,213398,1340,85,1.68,23,70,,2026-09-24,2026-08-31
clarksville-tn,Clarksville,TN,36.69571,-87.624307,291739,1342,90,0.65,59,70,,2026-09-24,2026-08-31
roanoke-va,Roanoke,VA,37.286226,-79.946935,299426,1425,75,0.87,82,80,,2026-09-24,2026-08-31
evansville-in,Evansville,IN,38.049142,-87.584519,227052,1121,90,0.84,75,85,,2026-09-24,2026-08-31
kingsport-tn,Kingsport,TN,36.604161,-82.440145,246243,1320,90,0.65,92,70,,2026-09-24,2026-08-31
kennewick-wa,Kennewick,WA,46.364155,-119.254927,438458,1697,45,0.87,27,80,,2026-09-24,2026-08-31
utica-ny,Utica,NY,43.33228,-75.173189,233378,1432,30,1.64,95,80,,2026-09-24,2026-08-31
hagerstown-md,Hagerstown,MD,39.554433,-77.984594,323970,1646,55,1.05,62,80,,2026-09-24,2026-08-31
duluth-mn,Duluth,MN,47.329703,-92.37627,265012,1329,60,1.11,69,80,,2026-09-24,2026-08-31
olympia-wa,Olympia,WA,46.935822,-122.830152,524878,2080,45,0.87,17,80,,2026-09-24,2026-08-31
longview-tx,Longview,TX,32.431646,-94.684833,222626,1204,85,1.68,43,70,,2026-09-24,2026-08-31
wilmington-nc,Wilmington,NC,34.253691,-78.041674,445278,1734,85,0.8,74,65,,2026-09-24,2026-08-31
san-luis-obispo-ca,San Luis Obispo,CA,35.388189,-120.448897,897760,2837,35,0.75,48,55,,2026-09-24,2026-08-31
crestview-fl,Crestview,FL,30.594941,-86.358164,438425,1984,80,0.86,22,40,,2026-09-24,2026-08-31
merced-ca,Merced,CA,37.194806,-120.722802,417265,2036,35,0.75,21,55,,2026-09-24,2026-08-31
waco-tx,Waco,TX,31.5921,-97.286018,255340,1434,85,1.68,31,70,,2026-09-24,2026-08-31
cedar-rapids-ia,Cedar Rapids,IA,42.086289,-91.631095,245444,1250,85,1.52,55,80,,2026-09-24,2026-08-31
atlantic-city-nj,Atlantic City,NJ,39.286186,-74.738311,385565,2059,40,2.23,99,75,,2026-09-24,2026-08-31
bremerton-wa,Bremerton,WA,47.639595,-122.649634,580591,2063,45,0.87,12,80,,2026-09-24,2026-08-31
sioux-falls-sd,Sioux Falls,SD,43.525658,-96.875416,340496,1289,85,1.17,50,80,,2026-09-24,2026-08-31
santa-cruz-ca,Santa Cruz,CA,37.012347,-122.007789,1148750,3506,35,0.75,18,55,,2026-09-24,2026-08-31
erie-pa,Erie,PA,42.117952,-80.096386,226103,1136,70,1.41,94,90,,2026-09-24,2026-08-31
norwich-ct,Norwich,CT,41.484769,-72.101666,433137,2041,45,1.79,98,80,,2026-09-24,2026-08-31
amarillo-tx,Amarillo,TX,35.247999,-101.90867,221566,1324,85,1.68,54,70,,2026-09-24,2026-08-31
laredo-tx,Laredo,TX,27.760799,-99.340752,218936,1191,85,1.68,15,70,,2026-09-24,2026-08-31
tuscaloosa-al,Tuscaloosa,AL,33.097877,-87.799147,241271,1511,90,0.4,25,65,,2026-09-24,2026-08-31
college-station-tx,College Station,TX,30.754392,-96.488537,307248,1413,85,1.68,38,70,,2026-09-24,2026-08-31
kalamazoo-mi,Kalamazoo,MI,42.246266,-85.532854,278194,1280,65,1.38,54,85,,2026-09-24,2026-08-31
lynchburg-va,Lynchburg,VA,37.364926,-79.216689,290368,1297,75,0.87,74,80,,2026-09-24,2026-08-31
charleston-wv,Charleston,WV,38.283213,-81.492557,150969,1229,75,0.55,51,80,,2026-09-24,2026-08-31
yakima-wa,Yakima,WA,46.456558,-120.740145,351952,1377,45,0.87,21,80,,2026-09-24,2026-08-31
fargo-nd,Fargo,ND,46.914859,-96.960183,328573,1100,85,0.98,38,80,,2026-09-24,2026-08-31
binghamton-ny,Binghamton,NY,42.163928,-76.022943,204127,1587,30,1.64,95,80,,2026-09-24,2026-08-31
fort-smith-ar,Fort Smith,AR,35.429088,-94.448349,205433,1075,85,0.62,61,70,,2026-09-24,2026-08-31
appleton-wi,Appleton,WI,44.290603,-88.372326,349275,1209,70,1.61,97,85,,2026-09-24,2026-08-31
topeka-ks,Topeka,KS,39.041389,-95.802639,220095,1283,85,1.34,87,70,,2026-09-24,2026-08-31
macon-ga,Macon,GA,32.856216,-83.714305,200076,1250,90,0.9,70,70,,2026-09-24,2026-08-31
tyler-tx,Tyler,TX,32.375105,-95.268939,271212,1378,85,1.68,49,70,,2026-09-24,2026-08-31
barnstable-town-ma,Barnstable Town,MA,41.706123,-70.164823,762442,2574,40,1.14,73,80,,2026-09-24,2026-08-31
daphne-al,Daphne,AL,30.659218,-87.746067,372137,1659,90,0.4,33,65,,2026-09-24,2026-08-31
bellingham-wa,Bellingham,WA,48.842653,-121.836432,610694,1984,45,0.87,24,80,,2026-09-24,2026-08-31
burlington-vt,Burlington,VT,44.689115,-73.041175,470629,2315,50,1.83,43,85,,2026-09-24,2026-08-31
rochester-mn,Rochester,MN,43.94981,-92.33066,340393,1629,60,1.11,41,80,,2026-09-24,2026-08-31
lafayette-in,Lafayette,IN,40.482153,-87.017112,287219,1437,90,0.84,83,85,,2026-09-24,2026-08-31
champaign-il,Champaign,IL,40.234489,-88.298623,239660,1368,35,2.08,79,85,,2026-09-24,2026-08-31
medford-or,Medford,OR,42.411621,-122.675611,436355,1838,40,0.93,10,75,,2026-09-24,2026-08-31
charlottesville-va,Charlottesville,VA,37.949084,-78.593206,466498,1979,75,0.87,46,80,,2026-09-24,2026-08-31
lake-charles-la,Lake Charles,LA,30.038451,-93.190093,202113,1381,60,0.56,1,25,,2026-09-24,2026-08-31
las-cruces-nm,Las Cruces,NM,32.349919,-106.834968,287943,1469,70,0.67,69,75,,2026-09-24,2026-08-31
chico-ca,Chico,CA,39.665336,-121.603209,398224,1529,35,0.75,2,55,,2026-09-24,2026-08-31
hilton-head-island-sc,Hilton Head Island,SC,32.386792,-80.830877,523548,1976,85,0.56,90,60,,2026-09-24,2026-08-31
athens-ga,Athens,GA,33.943984,-83.213897,369408,1620,90,0.9,80,70,,2026-09-24,2026-08-31
lake-havasu-city-az,Lake Havasu City,AZ,35.717705,-113.749689,350954,1532,85,0.63,13,75,,2026-09-24,2026-08-31
columbia-mo,Columbia,MO,38.986486,-92.585189,321371,1444,85,0.98,72,75,,2026-09-24,2026-08-31
springfield-il,Springfield,IL,39.828621,-89.696067,200021,1197,35,2.08,77,85,,2026-09-24,2026-08-31
houma-la,Houma,LA,29.33413,-90.843674,183859,1299,60,0.56,0,25,,2026-09-24,2026-08-31
monroe-la,Monroe,LA,32.67396,-92.058318,170360,1167,60,0.56,15,25,,2026-09-24,2026-08-31
